nct_id,parameter,arm,sex,como_cnt,age_std_m,base_m,age_std_s,base_s,participants
NCT00428090,eq5d_index,1,1,1,0.751,0.889,0.523,0.095,15
NCT00428090,eq5d_index,1,1,2,0.835,0.87,0.548,0.101,17
NCT01264939,eq5d_index,0,0,1,-1.479,0.915,1.029,0.059,11
NCT01264939,eq5d_index,0,0,2,-0.903,0.891,0.919,0.096,44
NCT01264939,eq5d_index,0,1,1,-0.867,0.947,1.095,0.056,7
NCT01264939,eq5d_index,0,1,2,-1.171,0.875,1.038,0.08,21
NCT01264939,eq5d_index,1,0,0,-0.367,0.794,0.519,0.062,2
NCT01264939,eq5d_index,1,0,1,-1.186,0.903,0.838,0.072,44
NCT01264939,eq5d_index,1,0,2,-1.232,0.883,0.949,0.083,140
NCT01264939,eq5d_index,1,1,0,-1.6,0.859,0,0,1
NCT01264939,eq5d_index,1,1,1,-1.181,0.89,0.95,0.095,18
NCT01264939,eq5d_index,1,1,2,-0.909,0.891,0.918,0.089,47
NCT01287117,eq5d_index,0,0,0,-1.526,0.852,0.94,0.091,19
NCT01287117,eq5d_index,0,0,1,-1.12,0.866,0.75,0.09,15
NCT01287117,eq5d_index,0,0,2,-1.333,0.883,1.218,0.065,18
NCT01287117,eq5d_index,0,1,0,-1.778,0.896,0.822,0.092,15
NCT01287117,eq5d_index,0,1,1,-0.507,0.915,1.177,0.032,5
NCT01287117,eq5d_index,0,1,2,-0.675,0.85,1.225,0.068,8
